iteration,bestDays
0,14
1000,14
2000,14
3000,14
4000,14
5000,14
6000,14
7000,14
8000,14
9000,14
10000,14
11000,14
12000,14
13000,14
14000,14
15000,14
16000,14
17000,14
18000,14
19000,14
20000,14
21000,14
22000,14
23000,14
24000,14
25000,14
26000,14
27000,14
28000,14
29000,14
30000,14
31000,14
32000,14
33000,14
34000,14
35000,14
36000,14
37000,14
38000,14
39000,14
40000,14
41000,14
42000,14
43000,14
44000,14
45000,14
46000,14
47000,14
48000,14
49000,14
50000,14
51000,14
52000,14
53000,14
54000,14
55000,14
56000,14
57000,14
58000,14
59000,14
60000,14
61000,14
62000,14
63000,14
64000,14
65000,14
66000,14
67000,14
68000,14
69000,14
70000,14
71000,14
72000,14
73000,14
74000,14
75000,14
76000,14
77000,14
78000,14
79000,14
80000,14
81000,14
82000,14
83000,14
84000,14
85000,14
86000,14
87000,14
88000,14
89000,14
90000,14
91000,14
92000,14
