param_name,param_value,mean_days,std_days,avg_time_s
initialTemp,10,19.00,0.0000,1.733
initialTemp,50,19.00,0.0000,1.649
initialTemp,100,19.00,0.0000,1.597
initialTemp,500,19.00,0.0000,1.690
swapProbability,0.1,19.00,0.0000,1.891
swapProbability,0.3,19.00,0.0000,1.983
swapProbability,0.5,19.00,0.0000,2.294
swapProbability,0.7,19.00,0.0000,1.638
coolingRate,0.999,19.00,0.0000,0.443
coolingRate,0.9995,19.00,0.0000,0.828
coolingRate,0.9999,19.00,0.0000,2.011
coolingRate,0.99995,19.00,0.0000,2.127
horizonExtension,2,19.00,0.0000,1.729
horizonExtension,4,19.00,0.0000,1.910
horizonExtension,8,19.00,0.0000,2.127
highSlotBias,0.0,19.00,0.0000,6.916
highSlotBias,0.3,19.00,0.0000,2.413
highSlotBias,0.5,19.00,0.0000,1.916
highSlotBias,0.7,19.00,0.0000,1.819
