test_case,solver,T_start,alpha,T_end,iter_per_T,run_id,f_days,Z_slots,runtime_s,valid
TC_01,SA,50.0,0.9,0.1,10,1,31,121,0.917,true
TC_01,SA,50.0,0.9,0.1,10,2,31,121,0.736,true
TC_01,SA,50.0,0.9,0.1,10,3,31,121,0.908,true
TC_01,SA,50.0,0.9,0.1,10,4,31,121,0.841,true
TC_01,SA,50.0,0.9,0.1,10,5,31,121,1.071,true
TC_01,SA,50.0,0.95,0.1,10,1,31,121,1.192,true
TC_01,SA,50.0,0.95,0.1,10,2,31,121,0.989,true
TC_01,SA,50.0,0.95,0.1,10,3,31,121,1.095,true
TC_01,SA,50.0,0.95,0.1,10,4,31,121,1.028,true
TC_01,SA,50.0,0.95,0.1,10,5,31,121,0.85,true
TC_01,SA,50.0,0.99,0.1,10,1,31,121,1.035,true
TC_01,SA,50.0,0.99,0.1,10,2,31,121,1.046,true
TC_01,SA,50.0,0.99,0.1,10,3,31,121,1.1,true
TC_01,SA,50.0,0.99,0.1,10,4,31,121,1.016,true
TC_01,SA,50.0,0.99,0.1,10,5,31,121,1.002,true
TC_01,SA,50.0,0.999,0.1,10,1,31,121,1.11,true
TC_01,SA,50.0,0.999,0.1,10,2,31,121,1.175,true
TC_01,SA,50.0,0.999,0.1,10,3,31,121,1.136,true
TC_01,SA,50.0,0.999,0.1,10,4,31,121,1.237,true
TC_01,SA,50.0,0.999,0.1,10,5,31,121,1.513,true
TC_01,SA,100.0,0.9,0.1,10,1,31,121,1.082,true
TC_01,SA,100.0,0.9,0.1,10,2,31,121,1.239,true
TC_01,SA,100.0,0.9,0.1,10,3,31,121,1.321,true
TC_01,SA,100.0,0.9,0.1,10,4,31,121,1.224,true
TC_01,SA,100.0,0.9,0.1,10,5,31,121,1.252,true
TC_01,SA,100.0,0.95,0.1,10,1,31,121,1.221,true
TC_01,SA,100.0,0.95,0.1,10,2,31,121,1.178,true
TC_01,SA,100.0,0.95,0.1,10,3,31,121,1.236,true
TC_01,SA,100.0,0.95,0.1,10,4,31,121,1.069,true
TC_01,SA,100.0,0.95,0.1,10,5,31,121,1.205,true
TC_01,SA,100.0,0.99,0.1,10,1,31,121,1.138,true
TC_01,SA,100.0,0.99,0.1,10,2,31,121,1.275,true
TC_01,SA,100.0,0.99,0.1,10,3,31,121,1.177,true
TC_01,SA,100.0,0.99,0.1,10,4,31,121,1.372,true
TC_01,SA,100.0,0.99,0.1,10,5,31,121,1.027,true
TC_01,SA,100.0,0.999,0.1,10,1,31,121,1.312,true
TC_01,SA,100.0,0.999,0.1,10,2,31,121,1.354,true
TC_01,SA,100.0,0.999,0.1,10,3,31,121,1.426,true
TC_01,SA,100.0,0.999,0.1,10,4,31,121,1.26,true
TC_01,SA,100.0,0.999,0.1,10,5,31,121,1.411,true
TC_01,SA,200.0,0.9,0.1,10,1,31,121,0.918,true
TC_01,SA,200.0,0.9,0.1,10,2,31,121,1.133,true
TC_01,SA,200.0,0.9,0.1,10,3,31,121,1.215,true
TC_01,SA,200.0,0.9,0.1,10,4,31,121,1.165,true
TC_01,SA,200.0,0.9,0.1,10,5,31,121,1.065,true
TC_01,SA,200.0,0.95,0.1,10,1,31,121,0.838,true
TC_01,SA,200.0,0.95,0.1,10,2,31,121,0.905,true
TC_01,SA,200.0,0.95,0.1,10,3,31,121,1.05,true
TC_01,SA,200.0,0.95,0.1,10,4,31,121,0.94,true
TC_01,SA,200.0,0.95,0.1,10,5,31,121,1.073,true
TC_01,SA,200.0,0.99,0.1,10,1,31,121,1.215,true
TC_01,SA,200.0,0.99,0.1,10,2,31,121,1.087,true
TC_01,SA,200.0,0.99,0.1,10,3,31,121,1.188,true
TC_01,SA,200.0,0.99,0.1,10,4,31,121,0.953,true
TC_01,SA,200.0,0.99,0.1,10,5,31,121,1.181,true
TC_01,SA,200.0,0.999,0.1,10,1,31,121,1.527,true
TC_01,SA,200.0,0.999,0.1,10,2,31,121,1.416,true
TC_01,SA,200.0,0.999,0.1,10,3,31,121,1.615,true
TC_01,SA,200.0,0.999,0.1,10,4,31,121,1.469,true
TC_01,SA,200.0,0.999,0.1,10,5,31,121,1.558,true
TC_02,SA,50.0,0.9,0.1,10,1,19,74,0.199,true
TC_02,SA,50.0,0.9,0.1,10,2,19,74,0.193,true
TC_02,SA,50.0,0.9,0.1,10,3,19,74,0.252,true
TC_02,SA,50.0,0.9,0.1,10,4,19,74,0.262,true
TC_02,SA,50.0,0.9,0.1,10,5,19,74,0.239,true
TC_02,SA,50.0,0.95,0.1,10,1,19,74,0.246,true
TC_02,SA,50.0,0.95,0.1,10,2,19,74,0.191,true
TC_02,SA,50.0,0.95,0.1,10,3,19,74,0.22,true
TC_02,SA,50.0,0.95,0.1,10,4,19,74,0.176,true
TC_02,SA,50.0,0.95,0.1,10,5,19,74,0.243,true
TC_02,SA,50.0,0.99,0.1,10,1,19,74,0.271,true
TC_02,SA,50.0,0.99,0.1,10,2,19,74,0.218,true
TC_02,SA,50.0,0.99,0.1,10,3,19,74,0.234,true
TC_02,SA,50.0,0.99,0.1,10,4,19,74,0.237,true
TC_02,SA,50.0,0.99,0.1,10,5,19,74,0.206,true
TC_02,SA,50.0,0.999,0.1,10,1,19,74,0.336,true
TC_02,SA,50.0,0.999,0.1,10,2,19,74,0.328,true
TC_02,SA,50.0,0.999,0.1,10,3,19,74,0.372,true
TC_02,SA,50.0,0.999,0.1,10,4,19,74,0.381,true
TC_02,SA,50.0,0.999,0.1,10,5,19,74,0.345,true
TC_02,SA,100.0,0.9,0.1,10,1,19,74,0.272,true
TC_02,SA,100.0,0.9,0.1,10,2,19,74,0.196,true
TC_02,SA,100.0,0.9,0.1,10,3,19,74,0.221,true
TC_02,SA,100.0,0.9,0.1,10,4,19,74,0.273,true
TC_02,SA,100.0,0.9,0.1,10,5,19,74,0.201,true
TC_02,SA,100.0,0.95,0.1,10,1,19,74,0.27,true
TC_02,SA,100.0,0.95,0.1,10,2,19,74,0.23,true
TC_02,SA,100.0,0.95,0.1,10,3,19,74,0.278,true
TC_02,SA,100.0,0.95,0.1,10,4,19,74,0.284,true
TC_02,SA,100.0,0.95,0.1,10,5,19,74,0.219,true
TC_02,SA,100.0,0.99,0.1,10,1,19,74,0.243,true
TC_02,SA,100.0,0.99,0.1,10,2,19,74,0.213,true
TC_02,SA,100.0,0.99,0.1,10,3,19,74,0.208,true
TC_02,SA,100.0,0.99,0.1,10,4,19,74,0.287,true
TC_02,SA,100.0,0.99,0.1,10,5,19,74,0.218,true
TC_02,SA,100.0,0.999,0.1,10,1,19,74,0.4,true
TC_02,SA,100.0,0.999,0.1,10,2,19,74,0.33,true
TC_02,SA,100.0,0.999,0.1,10,3,19,74,0.393,true
